UserId,ItemId
20,491 255 1200 1357 814 1737 2650 2171 2888 2463 2035 1423 767 1498 280 1133 48 2551 2932 2384 3233 2776 1811 1371 2151 115 31 2861 2126 824 2696 1939 1121 1065 1348 2603 1268 991 2398 865 1445 1577 168 1277 1875 907 2044 3181 3104 1239 
21,637 3031 2392 505 2380 2117 2193 2805 384 2651 2124 2455 2339 2306 2878 92 3142 1958 676 522 2845 1325 3220 1770 981 1722 1861 3092 2525 2312 3118 1648 1170 358 830 3156 698 2476 1268 1409 1799 706 489 1000 2966 2671 3176 783 1383 741 
22,1034 3037 1923 2222 1573 331 296 176 3159 2066 1673 277 340 2899 1835 2100 1405 1290 703 749 361 1376 2757 1660 1697 2483 1300 317 110 745 1456 1156 3041 589 1237 1307 3109 1364 2638 2456 821 2487 1341 3127 2664 307 1829 1619 1501 621 
23,2805 294 2537 1770 505 1213 1861 1268 2845 1152 2810 2661 1868 231 358 490 1195 2885 2380 1715 3040 719 2514 2527 2193 2182 2833 553 2940 3176 2312 471 1755 981 92 2351 3031 2855 2031 333 2809 2022 741 1941 1127 1987 3237 637 384 1684 
24,471 1324 1305 486 1496 1857 865 1603 593 589 1931 3068 3041 2807 2899 703 361 1673 3186 72 457 372 2537 1031 3182 2312 1386 3040 585 1986 2521 1853 856 1012 283 2185 277 3083 334 1817 2291 1349 1563 2115 214 1915 2460 719 110 672 
25,485 1411 2747 1672 2783 2828 313 2030 1135 3176 3013 1156 1786 770 3041 1352 1657 2149 417 2460 1456 975 1656 231 494 3026 430 1185 988 783 2174 173 446 128 1302 299 3139 1734 2278 2997 812 522 2319 573 471 1615 865 1325 1800 2814 
26,294 1152 1001 1656 13 2661 259 571 919 307 1614 545 938 2810 593 1219 1268 1260 971 2651 2809 1861 2741 525 1213 2565 2182 2979 2805 346 2173 1575 1218 2527 760 749 2385 745 2119 706 651 935 1014 2299 589 1048 1715 2685 2350 2473 
27,571 847 919 331 397 1795 1219 2173 228 1209 845 2627 450 1988 1321 1802 471 1260 1856 1977 3105 766 2259 2832 2809 346 618 3040 2178 294 439 1346 2986 1152 2976 1808 1414 2845 423 2002 939 1871 1430 3204 865 3161 283 443 415 1928 
28,2811 91 1054 1154 655 825 2129 2196 1975 2164 876 1861 2887 836 2413 1686 676 2316 3150 1299 3210 1964 751 394 2499 1895 1088 2885 2841 2866 3142 155 2805 2921 2089 2113 2305 2182 692 629 829 2652 2550 553 1240 2959 1383 275 677 2406 
29,3090 2650 1386 1023 1657 924 2470 2371 2064 2807 3233 2652 2810 398 2976 2111 803 232 964 74 991 602 2299 48 1811 1560 2398 3059 186 2844 695 1879 1643 1579 2649 3202 2100 1770 868 2757 1973 2155 959 2035 1071 1944 2351 1498 957 1863 
30,1195 2977 2173 1575 2546 938 2351 331 505 1614 845 1474 1020 1197 2855 3142 2537 706 3241 1001 471 571 919 2262 954 1012 1219 1006 2031 836 358 905 589 13 1430 2757 2841 1812 2470 655 745 1339 1857 856 294 2305 1200 1224 1720 465 
31,1575 954 938 2977 2811 751 1896 1054 1154 1861 2887 3241 471 1975 1317 2115 905 335 2297 1002 155 358 458 2431 714 1197 2113 825 2885 1006 2841 443 2546 676 91 1871 2089 613 465 2474 490 1200 2631 2164 706 655 25 987 1156 2217 
32,214 2757 924 1402 1424 1875 3003 1714 1797 1956 490 2299 2035 422 470 1533 651 2428 1838 2171 2702 3142 362 3202 1796 2173 1060 2108 2031 2262 3084 1756 3090 1307 2514 1034 2810 633 2995 838 1641 4 2359 1145 3194 1020 1560 2369 935 2688 
33,2878 1733 3089 1141 2958 809 2905 1999 2842 3051 266 908 2830 157 1554 2577 1845 1859 224 2146 1153 2721 1710 392 1718 98 1453 2794 1572 1991 311 1539 917 2602 786 2546 2967 1638 566 2344 2467 1922 2181 935 721 2866 2838 2406 114 2446 
34,1575 719 1200 2940 505 1185 2845 471 637 465 2022 783 1681 496 2885 2031 2661 2299 1770 3040 3176 1386 167 697 1715 384 2855 2351 1812 1195 2527 2117 2206 2024 1949 2645 490 2007 2514 2547 294 1156 2997 1197 486 1407 1474 333 231 3041 
35,1567 465 517 1386 2750 2217 1239 1254 2986 1956 783 830 3209 2198 1474 2173 1060 2616 3237 2841 1137 3189 3059 2568 1695 1770 280 2035 3064 1185 1868 1063 497 1517 644 2351 2463 1591 2710 767 1648 470 2472 1189 1941 609 682 765 1159 2072 
36,2810 2805 1941 3189 2380 1048 590 98 1055 1362 163 2385 712 2734 598 294 1852 1558 545 1387 1861 307 1984 405 2417 2111 2299 126 2217 1137 1549 253 1976 981 2809 1957 1529 490 2072 685 1531 2741 958 2638 2193 2958 270 1770 759 2955 
37,98 2805 1048 2651 553 443 655 545 2726 845 1268 3189 734 231 2810 1213 2809 1195 1941 2977 2217 3186 1197 1861 865 938 1976 405 2470 856 1152 1475 1558 3150 1613 755 1034 1474 1873 1349 1614 2878 2115 905 1386 362 712 163 2786 1362 
38,783 2472 454 2055 2932 2726 292 2308 2976 497 2986 1591 1964 1695 2488 2325 2875 1254 2441 1128 2428 2585 1040 1268 2338 3237 3218 2649 1238 1651 2810 899 2944 803 1446 448 2295 2387 937 1398 603 1939 1520 97 1213 1941 1026 1292 2799 2545 
39,2222 1835 2536 1424 1197 3037 2622 2100 176 117 706 2455 494 2770 1405 3071 387 2575 621 1295 1677 1364 3207 1307 46 1465 86 471 1575 2928 1756 1348 3182 88 2464 167 1456 938 3178 2299 2814 2007 2221 2339 968 3229 2940 2855 2458 231 
40,1575 2455 706 275 1200 2977 2971 1386 1185 2312 496 465 505 2351 1020 845 2173 2022 2885 2117 697 3031 2470 1195 471 490 2726 231 988 2464 1812 384 1197 3147 2651 2652 3220 783 2661 294 1113 2855 2845 2107 976 2538 333 2299 2339 2350 
41,1325 471 783 2466 2474 147 1755 2115 2845 655 2862 1195 676 3124 3237 2320 2392 2661 2232 1196 3220 443 2464 2024 2070 2946 358 384 1958 3035 1593 465 335 976 869 1127 1567 1722 454 2006 486 1125 2022 2463 1056 1761 856 678 2885 981 
42,2805 98 949 2299 981 1941 1377 1152 1362 1137 677 2350 2734 2576 294 1804 3089 1770 405 1307 2638 2217 544 2320 0 553 958 2565 253 1852 2380 1999 2270 270 598 734 1613 1912 2339 1531 685 776 2020 1387 475 3142 2568 1573 897 1976 
43,48 964 1917 1088 115 100 2472 3186 3142 1280 2134 1289 588 2080 910 1871 1967 1533 1006 2470 1474 3145 1203 3014 1936 842 2976 2057 13 2428 800 1117 2551 334 3079 1797 1402 1975 1115 2455 2883 1054 1685 710 1292 1680 3025 186 2529 1990 
44,2499 553 1055 677 598 1137 405 590 1549 163 1873 1804 1861 582 829 1475 1613 1087 2931 2651 595 1152 732 876 1029 2809 1912 3134 2852 2385 1957 2734 1025 1387 1085 552 2805 1362 3009 98 731 2565 964 2470 1909 36 815 444 253 1041 
45,2887 825 2977 676 1299 1002 319 3210 2866 2129 2957 2392 629 1432 2305 1895 1117 2089 2406 1203 1336 710 2297 1088 998 2889 613 987 876 405 1200 2262 1650 1240 2362 1415 1006 1770 2217 751 2779 2352 1861 1531 2930 2970 2470 1450 239 1383 
46,2470 2726 2320 2350 1386 1575 2163 2652 2022 1784 115 100 706 964 3142 1871 1195 938 545 2217 2147 2977 2111 2810 2855 454 2173 490 3209 651 2878 2958 346 2551 1567 865 1020 677 553 2115 1861 3186 3189 1239 1475 405 471 1213 517 1254 
47,1770 2885 2320 1386 988 48 987 1423 2977 2883 1268 865 2111 2537 2652 100 803 1812 1784 1868 2964 2616 2312 2460 2472 1034 938 1656 2541 2855 517 2295 3059 553 3220 3194 2464 1861 637 1737 2976 1031 505 1020 1515 470 3064 1498 1106 2861 
48,2350 2638 1941 2885 307 2299 958 294 2320 2805 2651 1861 1386 2193 3189 971 2111 981 1362 553 2351 3236 405 465 490 2464 1048 1197 964 2380 2652 333 525 163 590 2977 2940 1812 259 2217 2958 2312 697 1055 98 2385 1193 2498 1531 677 
49,2940 2537 2706 2464 2312 2030 780 2823 697 307 417 865 496 1715 3248 2222 2514 485 275 2031 1230 1200 1135 490 1456 294 1195 770 3078 2661 783 3231 1218 2299 1193 1656 3181 2536 1260 84 2645 2783 663 2818 494 167 2738 1352 1307 1513 
50,1197 1673 2805 117 3037 712 1405 1325 1407 2007 714 3026 3071 2174 2339 2380 2575 88 1185 2622 621 3041 3142 2222 655 2066 3241 92 84 3127 3109 86 1693 918 1189 2034 1558 1734 663 2299 1430 2940 2455 494 259 1730 1874 2783 1677 2182 
51,2971 3031 1868 332 1262 2537 275 1761 2845 1132 2661 2525 1743 1455 1353 2862 678 1635 2283 1099 2476 1113 1722 988 2124 1347 371 1795 960 2791 384 1127 2504 1752 3187 522 3147 2671 2607 415 2771 2162 1866 2332 2007 1681 487 1409 1214 1203 
52,2431 1224 91 1797 2196 2193 2887 1299 2413 2631 1002 2316 836 335 2129 876 1317 829 358 677 2297 825 3210 2392 1686 1432 2499 2385 751 2550 1383 2805 2889 2841 1895 2957 2866 1269 2182 692 734 1755 2113 2352 155 2406 539 1015 3142 2362 
53,1575 1268 2810 2320 2350 1770 987 2217 91 1200 405 1941 2885 1386 2652 2182 2726 856 2193 2111 3189 1474 2464 2937 2413 2022 3241 1129 2805 677 1197 2977 163 1964 319 1975 1804 1475 1154 1432 2474 3150 938 1087 2651 1383 1896 2385 598 2537 
54,471 2455 2651 2805 1861 490 706 1770 2902 1048 2470 2537 486 1130 294 1684 1213 1868 2638 1871 2879 553 13 1533 2661 334 593 2193 2809 1720 545 1115 1268 1521 719 1185 1558 919 1812 1941 1325 3142 2977 2312 1152 964 1386 170 475 981 
55,2514 1455 494 2039 1196 2940 663 1793 231 1681 1860 968 2536 2180 1786 2024 2537 2222 505 18 2013 2814 2007 333 1868 3123 2706 3032 1134 2005 2622 2783 1693 1193 2144 1829 2034 2845 1949 2380 1662 3220 3026 2312 1341 2818 1889 471 1835 384 
56,1533 2714 1269 2262 2096 1777 2702 1142 2926 1385 2950 1386 1972 1700 2606 3090 2307 3224 1210 1831 308 439 2489 1641 1189 199 3202 1159 1220 2071 1340 484 2530 805 1706 519 39 1714 959 694 2621 2654 954 2225 593 919 679 655 1839 2311 
57,231 2455 2651 1200 1770 3142 1941 3189 471 1784 1325 1567 1722 2537 2971 976 2805 92 164 741 1137 2320 1871 714 598 372 465 3031 443 2006 2809 1861 384 2902 2855 2022 280 1365 553 2306 2946 3241 2295 987 2415 734 2174 405 3092 1939 
58,1154 676 2887 319 751 358 825 1383 2546 155 2217 2392 836 3210 829 1054 1686 2977 2129 2499 25 2352 1432 2115 2193 505 2930 2648 3221 3150 613 553 2959 734 3201 1317 1129 987 3241 2385 1299 2225 335 91 1087 2889 1895 938 1415 1596 
59,259 845 745 1189 1730 2685 3159 2979 3156 589 1005 1891 2339 655 176 2275 2445 654 821 2879 2086 1365 622 1656 2487 312 430 1242 228 1158 1521 2635 1496 2350 1216 760 1283 2629 1298 498 714 181 588 1904 648 1655 2941 1619 2815 996 
60,1213 2651 1137 2810 1268 2217 1873 163 2934 1861 2809 1106 1941 2225 590 405 1984 1558 755 1474 444 1162 98 1048 1055 2931 2499 241 3106 1804 2470 2805 3220 2128 3008 1383 1475 1348 2527 1087 1196 1507 2845 2385 1715 865 1659 1613 1722 1684 
61,2350 1575 2173 845 2726 505 2455 1386 1868 637 294 988 2971 1861 2661 2351 2022 443 2810 1056 2937 2521 1339 719 465 1784 1268 1197 964 1106 2638 1567 545 2651 1533 2006 3241 454 745 259 1941 2464 346 13 1846 697 2862 1812 115 1001 
62,2464 1386 2403 767 1786 1949 3078 702 1198 1835 18 2179 2108 2536 417 427 3209 1907 457 2013 2537 1013 88 1889 918 1023 698 697 695 859 609 898 275 517 1870 21 584 2120 2818 494 2831 226 1681 1860 77 3181 1637 176 2458 2404 
63,3145 501 1239 2688 2111 1200 2649 2428 2933 1057 2696 479 147 1226 2338 1056 192 1195 2652 2875 294 2466 820 803 2963 3187 241 1494 1837 2217 1681 2057 3014 405 3031 3040 3039 1685 1026 1871 2832 1941 3241 868 783 1873 2311 1127 2070 471 
64,2885 319 2855 959 2217 1602 2887 1920 856 553 3210 465 2350 231 825 2182 2470 1137 2810 697 2957 1240 2726 1203 405 1383 905 2631 829 1770 1432 1002 539 2129 1325 1087 1518 1290 710 1152 2750 2193 1596 1129 1299 910 2499 1896 119 692 
65,2320 100 702 2350 987 1474 1197 2616 2464 1722 1818 1575 1185 1443 2841 470 868 803 1681 1348 3241 231 1193 2351 3209 2179 609 2182 719 521 2937 255 2875 1755 1106 1498 2474 1060 241 275 865 644 596 1868 856 698 942 2649 2688 1371 
66,2217 734 2810 2499 1873 829 2651 2072 2225 3189 1152 98 1804 590 1941 2546 1048 2385 490 1055 1613 2380 1137 2565 2809 2417 1547 1531 2805 905 2470 1475 1770 1909 2193 1383 598 1029 358 732 1474 2474 1976 1129 1041 405 2977 1195 2734 64 
67,697 2309 1920 422 845 2841 2262 3003 2127 710 2002 1975 468 1260 1006 2173 1575 1973 3142 1531 3023 1194 259 954 1430 1001 1797 3158 1302 331 751 910 2972 333 1861 1281 760 2977 2351 919 2757 745 1168 45 1529 1195 128 1145 1379 1385 
68,1567 1245 609 814 767 2198 385 1956 296 1983 796 1939 280 1800 907 2384 2035 1818 255 2883 2359 3049 1060 3229 1755 1133 2126 2012 824 2463 1290 2932 1811 2472 3129 2986 2693 3189 166 1423 18 1193 1737 2541 2908 100 811 229 2055 770 
69,1575 1812 865 968 505 3178 1185 719 2814 2007 2022 3041 2455 2039 1455 1405 697 1197 2031 1693 1860 2351 2706 117 457 1195 1034 2536 3031 1307 443 1336 2885 898 2066 1325 1465 2845 1386 46 1456 573 2574 706 3032 663 3127 1648 1474 2206 
70,1575 465 2022 2320 1770 1386 2855 2464 1193 2885 2350 2470 2299 275 3209 644 2726 1573 1307 2182 865 1443 1268 2805 1868 517 3181 231 2810 1956 3189 1197 2651 770 2217 3236 1185 1784 1156 598 471 1455 1195 1681 719 2750 333 706 2652 609 
71,2299 457 471 117 2066 1324 1307 1575 363 663 1835 1734 2902 2664 1417 2208 1197 2007 2928 1424 2997 1156 3068 621 2899 1677 1871 644 3127 3041 1857 1573 46 1300 296 2622 770 3109 2514 1343 842 387 3186 1184 3079 402 714 3206 2115 938 
72,2724 431 1956 1410 2850 949 270 2749 1539 1922 3078 551 1817 2318 28 2435 1845 3080 302 1999 3209 2270 245 1389 2365 1241 2572 85 435 1034 2980 2516 1697 2892 1045 464 2541 2955 1470 592 1923 2880 809 926 3022 2800 2496 2703 311 2824 
73,2006 1575 1185 3049 280 719 1325 1088 2007 706 2455 1239 842 2055 2398 1474 1681 1119 637 2652 714 3142 2976 372 988 3237 1614 465 1130 1765 2875 1115 164 2441 2986 1973 3014 1197 490 402 644 2885 939 334 170 3064 2133 2464 837 2855 
74,465 2455 637 2351 2173 1575 1020 490 783 1681 845 1295 1871 1056 2750 2470 847 2966 2645 2464 2940 2521 2977 517 167 426 1135 3040 457 976 3186 1369 2902 515 1156 3037 2283 1715 454 2845 170 2823 486 1614 1106 3187 938 644 698 294 
75,3078 457 2547 3032 3026 84 1860 412 2549 756 2312 1693 2013 859 1793 3071 2831 1756 2100 3013 2514 968 2108 2814 3248 1013 1536 2278 2623 2497 1637 496 1660 550 1429 365 485 749 689 1341 1411 340 586 18 1247 1465 3215 2772 2257 1870 
76,1197 2470 2350 1386 1770 1575 2299 1195 2464 2022 1213 490 2810 2651 2312 1941 2320 2514 2855 465 2111 1156 1307 2652 167 2940 770 296 1193 307 277 2351 1048 457 938 471 2182 1956 2706 294 3041 3189 2222 1348 553 598 1295 266 1923 259 
77,734 2651 1048 1197 845 3189 2805 553 1295 98 2971 457 1804 1185 444 1307 637 2474 2351 1613 1873 1152 2934 3150 1362 2128 1034 2022 443 865 3092 755 1507 1909 163 1399 712 1137 2726 126 1942 2763 417 1558 3134 1852 1085 655 1369 167 
78,2320 100 1956 1818 2696 1784 517 2428 2649 115 2883 1567 1973 454 423 2976 470 1239 2875 2463 2933 2472 3064 1268 497 2616 1737 1443 2810 2163 296 2393 644 748 783 532 2551 1289 1197 1941 2217 18 796 987 1612 2325 1102 1864 1213 2035 
79,2384 115 2750 2696 2883 2198 814 1567 48 497 2393 2649 2705 2855 2308 1695 2044 296 1239 2428 1784 1864 1396 2227 2875 2111 1737 1371 3209 987 2472 2398 2810 232 1292 2338 2387 1770 2147 2544 1651 2488 3014 521 2585 748 1990 1200 2255 2325 
80,1975 1405 2805 333 2855 405 3026 938 3032 1104 3142 1558 1889 856 2262 1218 25 1474 553 2217 825 734 2499 2039 905 2464 2934 1185 2885 968 2031 1880 1531 3086 2887 84 1087 2549 1659 1048 1964 783 3178 119 2831 3167 2115 1154 1430 2380 
81,2652 2163 1612 1964 454 2799 2472 2338 497 2488 423 1402 1292 1254 1591 2944 523 1695 2595 292 3189 1088 2885 2963 3236 1990 1147 1010 1213 43 3052 987 1370 1575 2401 1306 2413 2182 1936 1991 366 2478 3218 2057 405 2714 553 2302 2545 2423 
82,987 2811 1474 1224 2546 1975 91 319 458 825 358 1002 1432 1054 938 1325 676 2316 2392 3210 1268 2164 2297 1861 1964 243 905 2930 119 1299 836 1336 335 829 25 505 1383 2889 1596 3150 2217 2352 714 539 692 2957 1797 1405 2305 1650 
83,465 1443 517 644 380 1770 1567 3236 255 3229 454 100 18 2384 1290 3237 1060 2463 2198 2035 1737 2883 814 2006 748 2932 1088 1964 3129 767 2650 1983 2350 3022 2888 2551 2441 2810 803 2937 470 2693 907 346 2875 1939 2986 3130 1128 48 
84,2527 2855 1614 2514 3026 2940 1195 485 968 745 697 2178 847 490 1407 13 1197 1575 294 3041 1656 571 2661 3071 2997 2455 1521 2351 1298 585 2537 454 919 2022 1657 2747 1857 313 1720 1765 3040 706 1386 2173 494 1496 465 1185 259 334 
85,1193 2039 2547 3032 859 427 2403 3022 1875 1013 18 1956 898 2497 2814 767 3209 584 2030 2144 2359 1134 770 496 639 457 2480 1835 2537 1200 1443 226 2022 3026 663 2823 3021 2012 1860 3013 1811 3110 2180 1825 1072 1889 2622 1274 1681 329 
86,2350 2805 2320 294 2299 307 1770 3189 1237 2724 2810 266 2380 2958 98 333 981 3089 2182 2361 1558 2651 2638 1529 302 949 1697 1377 2318 1362 1152 553 405 2741 1804 2850 2824 2270 2193 163 1417 971 2855 2734 1475 270 2885 2576 1389 2095 
87,745 2652 2855 1857 3090 1430 1942 457 296 2173 863 1348 2757 307 277 1922 644 3026 471 1714 3182 2706 2111 331 1230 1533 2411 2770 3229 2536 3142 1295 1424 2299 1693 2100 2831 387 589 945 1195 521 2455 1677 479 3207 422 2962 2088 1577 
88,2070 2466 280 1259 2350 2133 2072 2103 1544 1770 1804 2193 1685 820 3189 2810 98 2320 1520 2944 1362 2932 1945 876 439 2885 2464 1872 2752 2217 1365 2590 811 981 2626 2825 2299 677 501 163 644 150 2555 2760 2474 1200 651 2272 2111 603 
89,275 2902 2455 637 505 1575 1784 384 1567 960 706 2971 783 842 2007 2117 1365 1765 2661 1614 3040 164 1795 2178 1715 2977 3176 1127 332 2537 1730 490 3220 2966 1720 1770 295 2527 2726 358 2295 13 294 1099 1593 2350 571 678 371 1170 
90,2086 3158 1529 1972 2002 697 1462 3032 331 2039 682 1762 197 468 639 1104 2568 2651 1723 84 2538 1530 412 2403 3078 1927 2262 2018 1302 2788 1902 2309 1677 2881 329 1820 545 230 745 611 333 654 2772 2370 2940 77 518 1907 1006 2831 
91,1770 677 294 98 1106 755 266 100 2652 2022 1386 651 803 1612 2885 2270 525 2799 1362 2428 2933 3039 1804 1377 2499 2651 270 2825 490 1991 3059 192 1547 2496 1048 2541 971 517 865 1034 2638 1613 788 2163 2850 1602 3150 1197 603 3145 
92,128 1194 2002 1339 1006 1530 122 2788 197 2262 272 1641 1531 2817 3142 3085 2841 3202 2571 1963 676 1385 938 718 954 307 3023 1821 2592 1302 1158 2258 575 1159 284 2962 1168 764 1942 2096 655 1838 3241 1857 244 2369 313 1777 1902 1847 
93,2320 2350 2810 3189 98 1770 163 1362 266 2193 2380 2299 981 2217 294 2885 1055 2726 1861 1377 651 1386 1558 2724 270 590 2499 1612 2070 2652 949 865 545 2799 1991 2270 1984 3118 598 2541 2385 2022 876 2734 712 1956 2638 1197 1152 2934 
94,987 2217 2885 1224 2474 957 876 1857 734 232 2811 3150 938 1873 1475 2022 829 3210 1474 2652 1137 1861 1804 1087 2541 243 1432 2810 553 755 2129 1797 394 1154 2413 491 517 465 1755 2750 1964 2164 677 358 814 150 2889 2726 651 2631 
95,2262 122 468 197 1094 331 2309 655 1531 2788 2086 2444 856 2213 718 244 1762 2962 863 1430 2652 751 3158 2972 2817 1518 1529 910 1142 170 3085 906 636 990 545 1909 1641 425 1212 2413 1137 2115 335 231 3150 764 71 2217 2702 1873 
96,1185 333 2320 1770 2940 698 2299 2805 1023 417 2463 1793 3178 1197 2885 697 2944 2814 2193 3209 98 1348 767 2514 2350 2380 2726 2070 3181 3189 702 231 1648 2179 1754 2222 3118 1786 277 1941 2108 2706 2182 2855 3236 2536 294 1013 1362 2958 
97,2541 2320 517 2171 2470 1470 2850 596 2179 748 3039 192 926 479 2937 1612 1071 1289 2875 936 2880 1722 1602 3059 3233 786 2393 938 1046 2435 272 14 1465 3209 2147 3080 1200 2649 1770 1643 2855 2602 2343 1237 870 949 238 1990 3145 1714 
98,2320 1770 100 2937 964 517 644 1737 987 346 2883 1956 2875 1443 1423 1567 1239 1973 454 2855 2198 1864 803 2044 609 3064 2006 1818 2696 2649 2932 1197 1651 1289 1446 1964 48 91 497 2217 423 1498 280 2933 2182 2551 1800 491 2976 1290 
99,275 865 719 1868 3031 1770 1185 637 1200 3220 2971 1474 981 231 1681 976 358 2320 3176 2470 2463 2837 384 294 2392 2283 988 1127 1715 443 1684 3118 2661 1881 2527 1226 1761 1722 741 3040 1113 1170 2312 2007 1262 1567 333 2966 505 676 
100,2320 1770 2541 1941 1956 521 1200 465 2464 2463 1193 767 280 2958 1386 2182 2022 3229 1060 380 98 2350 2724 3181 553 296 1362 3130 2171 2035 2299 814 2650 1811 783 1737 333 163 2888 2693 2760 1983 2932 2883 949 2855 796 302 2198 870 
